psi,eT1,vT1,uT1,lT1,eT2i,vT2i,uT2i,lT2i,eT2a,vT2a,uT2a,lT2a,eDC,vDC,uDC,lDC,eMAE,uMAE,lMAE,eMR,uMR,lMR,N,n_edges
0.0,2083.8695,694630.8749072036,3456.0,741.75,4815.833,504064.17219709855,6318.05,4065.9500000000003,2478.5575,2.9260080347111053e6,5754.199999999999,283.9,2745.1035,209721.75166358182,3583.0,2111.0,0.40278279911144726,0.4953888207631697,0.21650368001312123,0.3151640625,0.45831298828124994,0.125244140625,4096,8064.0
0.03,2050.509,731746.8193286642,3389.0,653.85,4863.4855,487074.75516733364,6296.1,4102.0,2437.065,2.9283363769634822e6,5557.0,218.90000000000003,2770.152,209988.72425812902,3564.0,2106.95,0.40113848485460685,0.49493399063546123,0.22420270191750918,0.3097686767578125,0.45703125,0.1298828125,4096,8064.0
0.06,2143.2285,754911.6691223112,3524.1,727.95,4920.5555,511168.68626288144,6455.1,4140.95,2648.6,3.245229817908956e6,5996.749999999999,289.95,2788.4195,215489.3892143572,3618.05,2120.0,0.3992989029400129,0.4935266701691133,0.21165734693578853,0.30552490234375,0.45338134765625,0.116455078125,4096,8064.0
0.09,2203.601,781385.9497738869,3553.0499999999997,680.7,4990.619,541149.5406093047,6502.05,4172.95,2802.919,3.362398128503252e6,6087.15,249.55,2808.627,226766.8783101551,3638.0,2114.95,0.3965849580622719,0.4950587822886274,0.20631720972851947,0.30080224609375,0.46070556640625,0.11181640625,4096,8064.0
0.12,2234.78,791691.3722861432,3606.0,745.0,5031.3905,561857.8459327164,6540.4,4198.95,2885.215,3.567364431990995e6,6269.099999999999,312.9,2816.262,236073.83127163578,3648.05,2117.95,0.39715302069909325,0.49645397337384384,0.20954363724572317,0.30234326171875,0.47633056640625,0.10936279296875,4096,8064.0
0.15,2288.38,818570.4378189095,3651.3,732.95,5098.323,612741.7765592796,6691.549999999999,4240.95,3024.7355,3.7378958104449725e6,6436.799999999999,302.0,2839.226,250030.12898849425,3691.2,2111.0,0.3958332504414393,0.4960653842725668,0.20148748445180312,0.2997427978515625,0.4804931640625,0.098828125,4096,8064.0
0.18,2385.847,796593.8695257626,3710.0,808.7,5157.437,636533.3877248626,6815.1,4275.95,3246.468,3.8104428253886946e6,6629.8499999999985,383.0,2853.96,260895.09394697353,3733.1499999999996,2136.0,0.39709636052861685,0.49841436925255506,0.19541670044792164,0.3003006591796875,0.493408203125,0.08858642578125,4096,8064.0
0.21,2443.7845,827234.4192693848,3730.25,827.9000000000001,5244.4325,636757.5932403702,6866.099999999999,4309.95,3404.6555,3.9912189663029024e6,6717.799999999999,395.95,2900.5175,256808.48893821915,3753.0,2129.0,0.3948843689188094,0.49905046212720605,0.19944838263384201,0.2938272705078125,0.50048828125,0.083740234375,4096,8064.0
0.24,2464.4145,828489.5064429716,3746.1499999999996,826.75,5284.746,644682.5467573786,6894.5,4347.95,3466.0025,4.049429838412956e6,6765.749999999999,429.85,2905.8405,265718.83347648825,3754.05,2127.95,0.39780851491759917,0.5019695144743729,0.20102575018054702,0.300302978515625,0.525390625,0.08348388671875001,4096,8064.0
0.27,2576.6605,852814.3554174589,3815.1000000000004,839.95,5412.0345,729315.2549372186,7105.299999999999,4385.0,3751.1015,4.267831271833667e6,7017.549999999999,431.65000000000003,2973.3915,275658.2733644323,3826.1,2156.95,0.3932109969317073,0.5050740507868461,0.18601903689000748,0.2934664306640625,0.54498291015625,0.06589355468750001,4096,8064.0
0.3,2613.3285,839598.5978866933,3830.05,899.75,5471.5615,726112.5624989995,7127.05,4420.9,3853.772,4.269929592812405e6,7073.049999999999,502.90000000000003,2981.7355,287056.6558676839,3834.0,2146.95,0.3956006670242548,0.5072990566956418,0.19276041222755683,0.2971771240234375,0.55670166015625,0.064892578125,4096,8064.0
0.33,2667.2655,848508.040029765,3867.0,915.9,5551.18,760357.0001000501,7246.0,4463.900000000001,4000.0265,4.3957547421688335e6,7206.3,542.75,3015.2245,296198.41130540264,3869.0499999999997,2147.85,0.39581117454163356,0.5099798937353893,0.18300843906064346,0.299275390625,0.581298828125,0.055407714843750004,4096,8064.0
0.36,2735.9025,879290.7143509253,3878.1,913.7,5663.803,811691.2918369183,7304.2,4475.95,4191.967,4.623648762292146e6,7242.749999999999,552.7,3069.9035,307928.1192473736,3884.05,2164.75,0.39378467188807803,0.5149324183303319,0.18461540169970103,0.2976590576171875,0.6135498046874999,0.0517578125,4096,8064.0
0.39,2775.955,868120.1290395197,3890.05,953.9,5730.3755,809418.8709352175,7336.0,4533.9,4304.488,4.61310792781991e6,7300.05,608.9000000000001,3091.935,307958.24589794903,3891.1000000000004,2151.9,0.39668877353200366,0.5178667676808818,0.1931737022175877,0.302483642578125,0.61817626953125,0.050024414062499994,4096,8064.0
0.42,2860.684,844027.3338109053,3940.05,1011.6999999999999,5840.137,865977.8361490745,7494.1,4568.95,4526.5465,4.614026328001751e6,7468.45,716.8,3135.487,321593.4255437718,3941.0499999999997,2182.9500000000003,0.3959734387845507,0.5220367837830299,0.17214743373024333,0.30483447265625,0.63455810546875,0.037829589843750004,4096,8064.0
0.45,2936.669,831321.861369685,3939.05,1025.8,5945.0295,852150.2477536268,7493.099999999999,4624.95,4729.221,4.569685232775388e6,7474.049999999999,727.9,3187.888,321454.86688944465,3939.05,2168.95,0.3983671070310047,0.5283801560187341,0.1799542022702324,0.3051572265625,0.66578369140625,0.03879394531250001,4096,8064.0
0.48,2977.474,841493.0998739372,3955.05,1061.0,6033.9535,872786.064369935,7551.2,4657.95,4854.2865,4.634992151493497e6,7533.049999999999,800.5000000000001,3223.667,322962.8565392695,3955.05,2207.0,0.39926038924538326,0.5327083349683996,0.1771094610003169,0.312547607421875,0.6841552734374999,0.03441162109375,4096,8064.0
0.51,3028.2065,874212.9593374188,3984.0,943.95,6153.7545,883478.7836215607,7646.0,4733.0,5014.427,4.785987422382192e6,7636.1,651.75,3279.9965,316923.7213484242,3984.0,2231.8,0.3961871188756343,0.5387085247193629,0.16491398798184442,0.310781982421875,0.6906982421874999,0.02734375,4096,8064.0
0.54,3116.9205,746440.088223862,3987.0,1221.55,6209.5185,876770.3338246625,7662.35,4743.85,5217.5795,4.2710837375485245e6,7655.0,1010.85,3304.0175,311233.5599737369,3987.0,2240.95,0.40829631749364376,0.5470355820512056,0.18156925555811787,0.333031982421875,0.74443359375,0.02684326171875,4096,8064.0
0.57,3189.415,733105.3964732366,4004.0,1291.5500000000002,6337.17,875149.872036018,7719.0,4824.95,5424.2195,4.270382768704101e6,7714.0,1133.55,3361.546,310319.1114397198,4004.0,2267.7999999999997,0.40699595835419233,0.5531753344025868,0.17240978005090013,0.3296474609375,0.7571166992187499,0.0224609375,4096,8064.0
0.6,3214.9575,732637.6875375187,4010.0,1360.95,6402.376,852210.5238859429,7747.05,4878.95,5507.5375,4.1634434433154087e6,7739.05,1281.65,3381.8265,315125.60620085045,4010.0,2253.65,0.41407332044091494,0.5639667423069914,0.16856829730673686,0.345206787109375,0.78271484375,0.02122802734375,4096,8064.0
0.63,3285.079,675875.8606893447,4018.05,1358.95,6500.225,835264.7917708855,7776.0,4961.9,5694.6965,3.9715747527641323e6,7770.049999999999,1343.45,3430.458,294859.68307753885,4018.05,2294.95,0.41705617729812205,0.5718792860795872,0.18247370473741398,0.35341943359375,0.80225830078125,0.01904296875,4096,8064.0
0.66,3370.367,613221.0928574288,4019.05,1593.7,6630.413,774487.1910265135,7778.0,5011.9,5927.929,3.5637542350765388e6,7770.15,1645.85,3492.283,275753.45763981994,4019.05,2340.95,0.4205836635133097,0.5788409975702759,0.18487047819822375,0.3614959716796875,0.8322875976562499,0.0192626953125,4096,8064.0
0.69,3359.4735,688950.180387944,4038.0,1426.3,6687.5555,801486.9193794397,7844.0,5077.849999999999,5935.2625,4.011651004095796e6,7840.05,1384.5,3502.6595,292680.5258226613,4038.0,2324.8,0.41854102741540283,0.5867203923881437,0.16727535224213108,0.35796533203125,0.8371704101562499,0.01416015625,4096,8064.0
0.72,3469.07,541090.0651325663,4041.0499999999997,1806.85,6802.7395,754861.0461628314,7859.05,5166.950000000001,6208.69,3.266952850325162e6,7856.05,2127.75,3564.015,262089.0292896448,4041.0499999999997,2380.7,0.4247862107888079,0.5967324681041628,0.1713505179830945,0.368621826171875,0.8508544921874999,0.01341552734375,4096,8064.0
