psi,eT1,vT1,uT1,lT1,eT2i,vT2i,uT2i,lT2i,eT2a,vT2a,uT2a,lT2a,eDC,vDC,uDC,lDC,eMAE,uMAE,lMAE,eMR,uMR,lMR,N,n_edges
0.0,2018.8465,692557.2875815409,3382.6499999999996,684.95,4808.578,478902.44814007,6238.05,4072.0,2346.826,2.7649585399939963e6,5534.0999999999985,247.9,2746.0075,205949.44016383195,3553.1499999999996,2108.9500000000003,0.40345331274395174,0.494413127142354,0.22464009056359596,0.3146490478515625,0.45533447265625,0.13253173828124998,4096,8064.0
0.03,2081.0435,713616.0576365682,3468.1499999999996,688.9000000000001,4848.208,499720.6340530265,6305.299999999999,4090.0,2489.2145,2.9179154452123563e6,5796.1,248.75,2756.0255,213157.59264607303,3577.2499999999995,2110.0,0.40125235597734116,0.49567508445940894,0.21820627465839126,0.3125986328125,0.46094970703125,0.12664794921875,4096,8064.0
0.06,2069.4475,683303.2238556776,3399.3999999999996,703.95,4851.087,470976.909885943,6277.599999999999,4134.95,2467.7285,2.7782081778766885e6,5595.5,265.9,2736.6265,209319.77088319158,3564.0,2110.95,0.40337480509708756,0.4944171601735564,0.2222197102758795,0.315109375,0.4541015625,0.1298828125,4096,8064.0
0.09,2027.8155,721824.9499347173,3433.1499999999996,661.75,4894.481,504188.525901951,6359.1,4150.0,2407.538,2.9056494312716355e6,5711.35,238.0,2759.3645,215939.96962456228,3589.0999999999995,2106.95,0.40060127842040183,0.4951067360692402,0.21427332182012604,0.312510498046875,0.45826416015625,0.12375488281250001,4096,8064.0
0.12,2020.425,705294.7967733869,3370.2999999999997,673.0,4901.4445,461448.92238094046,6312.1,4182.0,2396.489,2.794847689723862e6,5505.199999999999,256.95,2753.132,208595.69042121063,3568.1,2107.0,0.40240408969075675,0.4948781233690088,0.22003350829270202,0.313934326171875,0.45533447265625,0.1288818359375,4096,8064.0
0.15,2040.727,693377.3491455727,3419.05,707.4499999999999,4913.5465,444497.5276015508,6353.15,4214.0,2442.5335,2.8275725891723367e6,5653.4,284.9,2743.496,209473.60778789394,3576.05,2104.9,0.4034804193133606,0.4958937838704131,0.2165853589378403,0.3153905029296875,0.46094970703125,0.12694091796875,4096,8064.0
0.18,2079.602,701566.8570245124,3408.2,718.9,4943.023,431436.2986203101,6301.2,4246.9,2533.79,2.8978076777388696e6,5628.05,304.8,2750.474,208849.46405602802,3555.05,2106.9,0.40218827045587213,0.4950803761011574,0.22471884509998225,0.3138607177734375,0.4580078125,0.13206787109375,4096,8064.0
0.21,2046.8205,704604.3374484744,3429.3499999999995,684.9,4959.7095,433461.3948071535,6324.25,4275.0,2477.5735,2.853021945570535e6,5720.199999999999,280.0,2751.0795,210037.6620107554,3568.0,2110.0,0.40268525072605577,0.4940306070224667,0.22141127257015525,0.3140506591796875,0.45289306640625,0.12890625,4096,8064.0
0.24,2081.209,666063.4470425213,3386.1,726.9,4954.9095,399170.21941945975,6264.749999999999,4303.0,2542.858,2.7139973715217602e6,5565.0,321.95,2729.111,203022.56996398195,3554.2,2105.95,0.40637815148148004,0.495157931501899,0.22610944819276574,0.3192166748046875,0.45877685546874997,0.13227539062500002,4096,8064.0
0.27,2027.662,671986.072792396,3364.1499999999996,676.9,4981.781,404712.5002891445,6315.3,4326.0,2450.8845,2.6745024603899443e6,5516.5,280.85,2727.537,210398.37882041017,3563.2,2097.9500000000003,0.405535744592579,0.4961301564773464,0.22257470135484708,0.319095703125,0.46485595703125,0.130078125,4096,8064.0
0.3,2053.169,650323.2350565281,3390.4999999999995,729.9,4985.8255,376318.19414682337,6304.65,4361.95,2503.0975,2.632699605796649e6,5618.049999999999,344.95,2719.056,199808.54113456726,3559.05,2100.0,0.40762777644628,0.4951628678048467,0.22680553932786113,0.3216070556640625,0.46024169921874997,0.13109130859375,4096,8064.0
0.33,2046.433,690445.2201210607,3415.05,691.5999999999999,5041.235,397836.1118309155,6425.449999999999,4403.0,2517.586,2.7976415623851926e6,5681.299999999999,298.90000000000003,2740.458,210709.72609904953,3595.0,2105.95,0.4029430794055365,0.4941539971616829,0.21245918947504128,0.316169921875,0.45557861328125,0.122314453125,4096,8064.0
0.36,2036.9905,679521.3460827913,3368.2999999999997,690.95,5051.803,363904.13425812905,6311.1,4420.95,2504.312,2.696508530921461e6,5561.499999999999,310.95000000000005,2736.4615,205426.27065307653,3539.0,2102.9500000000003,0.40407309511150047,0.49513002814138113,0.22683333326311597,0.3175076904296875,0.459228515625,0.135986328125,4096,8064.0
0.39,2048.2925,660913.892890195,3378.1,733.0,5059.6955,355514.05880915455,6326.05,4451.0,2530.366,2.6574557108994504e6,5593.299999999999,343.9,2722.1555,206200.98381165584,3550.05,2112.0,0.40598521874365123,0.4956826498565438,0.2250238781818719,0.3209197998046875,0.4609375,0.13328857421874998,4096,8064.0
0.42,2043.3925,645697.8993934467,3391.0,746.7,5069.78,348739.9995997999,6317.15,4475.0,2525.777,2.6188009037228613e6,5625.15,375.9,2711.3445,205473.09036493246,3540.05,2100.95,0.4075166040371682,0.4959114446313501,0.22527453694398394,0.3236842041015625,0.4616943359375,0.13572998046875,4096,8064.0
0.45,2042.5115,641813.1504429714,3391.15,721.0,5083.2515,325874.69459504745,6324.05,4514.0,2530.71,2.599443682741371e6,5619.4,358.85,2711.7695,201032.9348371686,3527.05,2099.95,0.40862126740625104,0.49545082546709895,0.22880388856464404,0.324248779296875,0.45947265625,0.13890380859375,4096,8064.0
0.48,2069.7625,652601.5398636822,3385.0,741.0,5118.497,323495.02150175086,6308.2,4545.0,2602.0835,2.623193973514506e6,5616.2,373.95000000000005,2720.1655,201042.90756353177,3536.05,2109.95,0.4062660459018266,0.495112423446559,0.22836867738339708,0.3225972900390625,0.4582763671875,0.13670654296875,4096,8064.0
0.51,2053.6305,646580.7413404201,3390.1,725.9000000000001,5135.0805,331342.1621008004,6389.15,4563.0,2578.6075,2.604883910398949e6,5673.999999999999,374.95000000000005,2712.7925,204442.30659704847,3553.0499999999997,2112.0,0.40717010339837456,0.4958535737196311,0.22023690657098732,0.3251473388671875,0.46337890625,0.13255615234374998,4096,8064.0
