psi,eT1,vT1,uT1,lT1,eT2i,vT2i,uT2i,lT2i,eT2a,vT2a,uT2a,lT2a,eDC,vDC,uDC,lDC,eMAE,uMAE,lMAE,eMR,uMR,lMR,N,n_edges
0.0,2073.4965,704199.3866810906,3418.1,697.9499999999999,4821.223,499011.8612016008,6333.25,4072.9500000000003,2460.785,2.8750732504001996e6,5618.4,257.8,2752.0485,208917.52691120555,3582.2,2107.9500000000003,0.4019115765203943,0.49378462057483336,0.21514592587557524,0.31296826171875,0.45389404296874997,0.125439453125,4096,8064.0
0.03,1982.9545,760498.5136865932,3414.2,622.9,4922.584,523084.9694287144,6404.15,4127.0,2332.9705,2.9994330601598304e6,5635.1,207.9,2785.7405,220198.23527738868,3608.05,2115.0,0.398132256083537,0.495375991623973,0.21643140417777781,0.3046231689453125,0.45708007812499996,0.11912841796875,4096,8064.0
0.06,2054.0275,781476.0637756377,3463.05,598.9499999999999,5000.9255,523325.07648799405,6479.05,4197.0,2512.4085,3.122457681468484e6,5804.299999999999,198.0,2793.6795,225196.33794872437,3629.0999999999995,2118.0,0.3972313064297406,0.4940758225883329,0.21146270360033118,0.3000548095703125,0.44873046875,0.11398925781250001,4096,8064.0
0.09,2064.4425,825606.3068471735,3505.0,568.9000000000001,5084.246,514919.50623711856,6524.15,4261.95,2574.4125,3.344845096892198e6,5936.399999999999,197.9,2819.6965,230063.40308929468,3638.1,2113.0,0.39573618531338894,0.4930231651972878,0.21506109886502014,0.2934442138671875,0.44483642578125,0.1117919921875,4096,8064.0
0.12,2074.4015,925105.2949452223,3578.1499999999996,530.9,5217.367,576523.713167584,6756.45,4333.95,2660.82,3.7238482687343666e6,6214.200000000001,177.9,2871.0705,248018.7429012006,3719.25,2132.9,0.3881701715370521,0.493669883866846,0.19076129562240235,0.28148193359375,0.44483642578125,0.09197998046875,4096,8064.0
0.15,2050.7405,951754.7665430213,3563.05,480.0,5298.6425,569803.5294584793,6749.049999999999,4407.0,2654.73,3.779097672936468e6,6170.299999999999,154.90000000000003,2881.5585,256594.92403976986,3709.2,2143.95,0.38755821664101164,0.49244208825836466,0.20405747994403484,0.2754495849609375,0.4372802734375,0.09443359375,4096,8064.0
0.18,2039.609,1.0599513888134067e6,3675.15,445.90000000000003,5425.7755,611924.2252123562,6946.199999999999,4472.0,2696.343,4.280419596149074e6,6529.4,142.90000000000003,2933.11,276210.2150075038,3772.05,2131.0,0.3812008447161454,0.4929402074256269,0.1861326153207589,0.2639847412109375,0.43702392578125,0.07908935546875,4096,8064.0
0.21,2094.886,1.120056905456728e6,3697.0499999999997,410.95000000000005,5533.8435,612326.3601878438,7058.049999999999,4554.95,2859.4055,4.554029997068284e6,6618.4,126.0,2962.885,284823.02228614304,3806.05,2134.9500000000003,0.37717499758181045,0.49126661274597644,0.18212054642243333,0.253666259765625,0.43116455078125,0.07078857421875,4096,8064.0
0.24,2060.2415,1.165491976165833e6,3683.15,371.0,5618.292,606844.5920320158,7111.05,4609.0,2833.3835,4.656772154505002e6,6573.2,106.0,2985.6605,285994.86867408693,3821.0999999999995,2143.95,0.3764162782467465,0.49105140024805843,0.18256334440956593,0.2476494140625,0.42652587890625,0.06711425781250001,4096,8064.0
0.27,2061.0795,1.2331326144869935e6,3760.1499999999996,330.95000000000005,5719.4025,623335.7643759381,7257.099999999999,4687.95,2885.477,4.921554652797399e6,6846.150000000001,88.95,3016.9985,293875.9664809905,3864.1,2162.8500000000004,0.37348801858332425,0.49062230449274585,0.16881647918081602,0.2386470947265625,0.421630859375,0.05615234375,4096,8064.0
0.3,2048.1145,1.3539366537166086e6,3795.05,317.0,5862.7645,611161.6018406705,7259.1,4787.900000000001,2931.5085,5.4078222410482755e6,6964.349999999999,86.0,3076.3735,295855.57078314153,3864.0,2185.0,0.3658602743437092,0.48885743905179263,0.1707962138440857,0.2238714599609375,0.41064453125,0.056640625,4096,8064.0
0.33,2024.571,1.4155325962571285e6,3817.0499999999997,269.95000000000005,5962.913,627839.1460040021,7375.2,4852.8,2935.356,5.6291986425852915e6,7041.549999999999,67.95,3097.66,313744.5046523261,3901.0999999999995,2181.8999999999996,0.3629805051049854,0.48929039816776154,0.1630010827562633,0.2159183349609375,0.40555419921874997,0.04758300781250001,4096,8064.0
0.36,2048.24,1.4754233010505256e6,3866.1,269.75000000000006,6061.5035,598050.0420087544,7446.05,4968.95,3030.9765,5.9592066442698855e6,7204.25,68.9,3124.763,315424.80123161577,3920.05,2167.9500000000003,0.36156216184592177,0.48632567515637204,0.16465585968494362,0.2064521484375,0.39356689453125,0.04295654296875,4096,8064.0
0.39,2078.3665,1.6411939061308156e6,3884.1499999999996,213.95,6228.802,606903.5495707854,7536.15,5069.900000000001,3174.432,6.537852811781891e6,7295.25,47.95,3193.6325,328986.10149449727,3947.05,2194.9,0.3502588637983473,0.48493835441664757,0.1508796014715823,0.1885550537109375,0.3798828125,0.03636474609375,4096,8064.0
0.42,2094.6635,1.6325978421888447e6,3895.0,202.90000000000003,6280.456,568113.6218749373,7566.05,5137.900000000001,3232.342,6.49339572589895e6,7323.1,41.95,3187.0825,336618.39289019513,3958.0,2174.0,0.35481356120344754,0.48466882909592995,0.15330381593451864,0.18594970703125,0.37550048828125,0.03369140625,4096,8064.0
0.45,2016.1645,1.8529800904849926e6,3930.0,165.85000000000002,6462.2055,552349.4069732367,7665.449999999999,5275.900000000001,3168.408,7.285494898985493e6,7447.2,33.0,3283.7545,326140.9857226113,3986.05,2218.95,0.3414780864997007,0.4807838138762282,0.1352887881828326,0.165529541015625,0.352294921875,0.02684326171875,4096,8064.0
0.48,2053.337,1.81718437661931e6,3938.0,169.95,6505.772,502726.3692006003,7683.05,5383.650000000001,3263.3615,7.200502728181842e6,7479.0,36.0,3265.924,333131.9642061031,3990.1,2198.8999999999996,0.348104067742222,0.48139769603032884,0.14674538666105258,0.1633629150390625,0.3482421874999999,0.0258544921875,4096,8064.0
0.51,2063.076,1.9645851928204102e6,3952.0,134.0,6632.531,494656.68738269137,7716.05,5431.95,3345.998,7.750226209100551e6,7531.15,22.950000000000003,3324.418,334754.6526023011,4000.0,2220.85,0.34209855884394536,0.4831465023655737,0.14500711982334,0.150575439453125,0.34620361328125,0.0234375,4096,8064.0
0.54,2025.8185,1.9947508759957482e6,3961.0999999999995,132.9,6721.1535,446034.84636093053,7731.0,5574.0,3316.854,7.82273459097949e6,7568.05,24.0,3331.3265,347492.36007778894,4003.0,2210.0,0.3421578406939793,0.4812425679875489,0.1520602740528068,0.1416661376953125,0.32770996093749993,0.022705078125,4096,8064.0
0.57,2095.669,2.087727158018009e6,3983.1000000000004,110.95,6824.636,413190.6098089045,7790.05,5714.900000000001,3506.429,8.219808078998499e6,7648.1,18.0,3372.631,334475.5796288144,4021.0,2241.9500000000003,0.33807268426608994,0.478560928902003,0.13882713033114827,0.1309046630859375,0.30789794921874997,0.018310546875,4096,8064.0
